STATE,COUNTY,POPULATION,RISK_SCORE,RISK_RATNG,RISK_NPCTL,RISK_SPCTL,FIPS,NDVI_summertime_max,Tree_canopy_cover,Public_park_cover,1kAccessibleParks,Share_of_the_tract_s_land_area_that_is_covered_by_impervious_2,Life_expectancy_raw_value_2021,Access_to_exercise_opportunities_raw_value_2021,Adult_smoking_raw_value_2021,Excessive_drinking_raw_value_2021,Uninsured_raw_value_2021,Adult_obesity_raw_value_2021,feasibility_index,environment_index,community_index,overall_index,result
Mississippi,Tallahatchie,15378,10.875991881079800,Relatively Low,64.95862507956720,51.21951219512200,28135,0.847043175333641,0.297288360595703,0.01148,0,60.25,74.239115381,0.274027832,0.2823506672,0.1331531967,0.1475130472,0.42,1.03405287301219E-09,8.28606139720445E-10,1.09087640916371E-08,1.27714231043697E-08,0.00019639894449899800
Mississippi,Quitman,8223,9.84124828544571,Relatively Low,56.77912157861240,36.58536585365850,28119,0.834207644248639,0.146122760772705,0.04023,0,66.33333333333330,70.778089094,0.1737808586,0.2850899225,0.1088772055,0.1659904745,0.345,6.55767681692476E-10,7.90987336883354E-10,9.42398677372631E-09,1.08707417923021E-08,8.93901097581005E-05
Mississippi,Sharkey,4916,12.559927202557800,Relatively Low,75.11139401655000,71.95121951219510,28125,0.841607296821857,0.329979820251465,0.2593,0,74.0,70.004496774,0.0199349064,0.2765494914,0.1103456973,0.168872267,0.42,7.52250130422851E-11,1.01918044805448E-09,9.87145854169499E-09,1.09658640027918E-08,5.39081874377242E-05
North Dakota,Griggs,2420,8.173194060543280,Relatively Low,40.73838319541690,79.24528301886790,38039,0.797907346231745,0.004612628817558,0.00934,0,81.0,79.469708584,0.444214876,0.2012351145,0.2330819773,0.0788113695,0.345,1.6762591792594E-09,7.56053935325199E-10,1.10081628077402E-08,1.34404759223248E-08,3.2525951732026E-05
North Dakota,Mercer,8424,4.834058764460830,Very Low,9.898154042011460,37.735849056603800,38057,0.648943986805625,0.005324681997299,0.08534,0,48.333333333333300,81.220203162,0.7729107312,0.1895346003,0.2703453801,0.0584269663,0.357,2.91660360316726E-09,5.64195096303234E-10,1.15621907207427E-08,1.50429894202132E-08,0.0001267221428758760
North Dakota,Oliver,1846,3.079106206568920,Very Low,2.800763844684910,13.20754716981130,38065,0.691998124827624,0.003689512908459,0.00281,0,49.0,90.356136651,0.4003250271,0.1998415534,0.2362262785,0.071334214,0.31,1.51063941713569E-09,5.41120212717366E-10,1.31506857248192E-08,1.52024453546723E-08,2.8063714124725E-05
North Dakota,Emmons,3550,7.233890826330690,Very Low,31.06301718650540,69.81132075471700,38029,0.71636480884796,0.001078058332205,0.04301,0,66.0,81.285578948,0.0284507042,0.2166787268,0.2272454629,0.1319473908,0.284,1.07359651034388E-10,6.62500852506902E-10,1.14409172082107E-08,1.2210777711752E-08,4.33482608767194E-05
North Dakota,Burleigh,81308,8.180168365084870,Relatively Low,40.802036919159800,81.13207547169810,38015,0.724596030908705,0.001846628338099,0.03875,1,51.47368421052630,81.622832083,0.8529787967,0.1633889498,0.203513418,0.0612268653,0.316,3.22384930223012E-09,6.04336174535567E-10,1.0496387348068E-08,1.43245728248337E-08,0.0011647023672415800
North Dakota,Kidder,2435,4.18610250173737,Very Low,6.524506683640990,24.52830188679250,38043,0.706102538979056,0.000423798412085,0.02077,0,50.0,84.817527943,0.1507186858,0.228481599,0.2197386911,0.1033732318,0.367,5.68741827903494E-10,5.63251920591045E-10,1.27712399202516E-08,1.39032336687462E-08,3.38543739833969E-05
North Dakota,Morton,27471,6.730674871990250,Very Low,25.55697008274980,62.264150943396200,38059,0.685178549112166,0.004162065684795,0.01623,0,44.2,78.52004607,0.7430017109,0.1893330312,0.2326325529,0.0725765654,0.324,2.80374094923729E-09,5.39162462080256E-10,1.04403304201972E-08,1.37832338315148E-08,0.0003786392165855420
North Dakota,Grant,2394,5.788172857123500,Very Low,16.677275620623800,54.71698113207550,38037,0.66158834074746,0.00211414039135,0.01188,0,46.0,78.208085591,0.3153717627,0.2156206867,0.2263252193,0.1530550514,0.297,1.19006553059491E-09,5.29659306392207E-10,1.10172954420857E-08,1.27370202790728E-08,3.04924265481003E-05
North Dakota,Grand Forks,66861,11.155587747477800,Relatively Low,66.70910248249520,92.45283018867920,38035,0.799809244712264,0.008275870084763,0.0152,9,69.22222222222220,78.902067507,0.8229461121,0.193015305,0.2160444551,0.0745462624,0.317,3.15137014367093E-09,7.22090504795745E-10,1.03697525910854E-08,1.42432132395521E-08,0.0009523154804096900
North Dakota,McLean,8962,7.081526080104240,Very Low,29.53532781667730,67.9245283018868,38055,0.689218823423194,0.001898826062679,0.11782,0,78.0,78.223641554,0.2935728632,0.1977678221,0.2411638604,0.0874226804,0.345,1.10780667939735E-09,7.36598188779029E-10,1.08385543443948E-08,1.26829592125712E-08,0.00011366468046306300
North Dakota,LaMoure,4139,5.704766081144240,Very Low,16.168045830681100,50.943396226415100,38045,0.823427910601476,0.001112837642431,0.00944,0,89.5,82.866049657,0.4312635902,0.2139194588,0.2385801952,0.1140825999,0.32,1.62738708406766E-09,7.92639243506819E-10,1.20400390937348E-08,1.44600654213093E-08,5.9850210778799E-05
North Dakota,McKenzie,6360,4.278905082551180,Very Low,6.810948440483770,26.41509433962260,38053,0.549468603637681,0.014909406900406,0.33117,0,29.75,80.961530146,0.6657232704,0.2041191055,0.2189008232,0.0986380853,0.336,2.51212825852007E-09,5.48464374054968E-10,1.13468908499891E-08,1.44074834825641E-08,9.16315949491077E-05
North Dakota,Williams,22398,2.09581269501251,Very Low,1.368555060471040,5.660377358490570,38105,0.654924447790942,0.001856660395861,0.0487,0,61.42857142857140,78.14327278,0.7896240736,0.1954106561,0.2467924314,0.0838020424,0.381,2.97967194042417E-09,5.95013609118996E-10,1.11348907614853E-08,1.47095763110285E-08,0.00032946509021441600
North Dakota,Mountrail,7673,4.491910034508220,Very Low,7.797581158497770,30.188679245283000,38061,0.683965962122105,0.003093930184841,0.07208,0,73.0,72.638513291,0.4489769321,0.2232988085,0.2502332739,0.1453019764,0.39,1.69422895173E-09,6.80815239704764E-10,1.07688538338929E-08,1.31438980253277E-08,0.00010085312954833900
North Dakota,Ward,61675,6.823384178020160,Very Low,26.73456397199240,64.15094339622640,38101,0.755886502587762,0.002960387766361,0.01508,1,67.0,80.632533586,0.7947142278,0.1870095068,0.2172344853,0.0751268148,0.342,3.00398606999515E-09,6.71096793703086E-10,1.09508453757083E-08,1.46259282394066E-08,0.0009020541241654000
North Dakota,Burke,1968,2.608558942751990,Very Low,1.909611712285170,7.547169811320760,38013,0.74453564443712,0.001724898964167,0.04893,0,76.0,83.972131778,0.4446138211,0.2012908832,0.2436367756,0.0818783865,0.335,1.67776461147707E-09,7.01770202168139E-10,1.20754800725028E-08,1.4455014886148E-08,2.84474692959394E-05
North Dakota,Divide,2071,4.354532286374050,Very Low,7.28835136855506,28.30188679245280,38023,0.698328309543961,0.000605351477861,0.01518,0,84.0,80.489663886,0.5485272815,0.211713544,0.2371810008,0.1018246027,0.329,2.0698854098902E-09,7.09040909958829E-10,1.1433243845639E-08,1.4212170165488E-08,2.94334044127257E-05
North Dakota,Logan,1990,6.261682183177300,Very Low,21.06938255887970,56.60377358490570,38047,0.726762075303098,0.000204631332308,0.02002,0,58.0,81.592853169,0.1914572864,0.2151072077,0.2347948731,0.1652298851,0.334,7.22470252806429E-10,6.1670591799892E-10,1.2299741298979E-08,1.36389174697844E-08,2.71414457648709E-05
